run_tag,mode,gpu,seeds,epochs,learning_rate,memory_size,trainable_part,stage1_total,stage2_total,stage3_total,score,status,note,hypothesis,change_summary,log_file
20260312_161759,legacy,,,30,0.001,24,,86.11,59.95,,67.8,legacy,migrated from existing log,,,20260312_161759/log_MIRepNet_EA_2026-03-12_08_17_59.txt
20260312_163650_envtest,legacy,,,1,0.001,24,,,,,,legacy,migrated from existing log,,,20260312_163650_envtest/log_MIRepNet_EA_2026-03-12_08_36_50.txt
20260312_172758_20260312_172749_baseline_short,legacy,,,10,0.001,24,,87.5,54.55,38.66,53.19,legacy,migrated from existing log,,,20260312_172758_20260312_172749_baseline_short/log_MIRepNet_EA_2026-03-12_09_27_58.txt
20260312_173040_20260312_173035_no_contrastive_short,legacy,,,10,0.001,24,,85.42,54.09,39.74,53.18,legacy,migrated from existing log,,,20260312_173040_20260312_173035_no_contrastive_short/log_MIRepNet_EA_2026-03-12_09_30_40.txt
20260312_195137_20260312_195128_embedding_only_short,screen,0,1,10,0.001,24,embedding_only,81.48,50.93,41.44,52.3,completed,embedding_only_short,freezing transformer and training only embedding-related parameters may preserve pretrained representation and reduce forgetting,set ICARL_TRAINABLE_PART=embedding_only,20260312_195137_20260312_195128_embedding_only_short/log_MIRepNet_EA_2026-03-12_11_51_38.txt
20260312_195436_20260312_195432_embedding_only_confirm,full,0,3,30,0.001,24,embedding_only,83.33,51.08,37.65,50.81,completed,embedding_only_confirm,freezing transformer and training only embedding-related parameters may preserve pretrained representation and reduce forgetting,set ICARL_TRAINABLE_PART=embedding_only,20260312_195436_20260312_195432_embedding_only_confirm/log_MIRepNet_EA_2026-03-12_12_01_14.txt
